id,sentiment
1,4
2,5
3,4
4,4
5,5
6,4
7,5
8,4
9,4
10,3
11,4
12,4
13,4
14,4
15,4
16,4
17,3
18,4
19,5
20,4
21,4
22,4
23,4
24,4
25,4
26,4
27,3
28,4
29,5
30,5
31,4
32,4
33,5
34,4
35,4
36,4
37,3
38,3
39,3
40,4
41,5
42,5
43,5
44,4
45,4
46,4
47,3
48,3
49,5
50,4
51,5
52,5
53,4
54,5
55,4
56,4
57,4
58,4
59,2
60,3
61,4
62,4
63,4
64,4
65,4
66,3
67,4
68,4
69,4
70,4
71,3
72,4
73,4
74,4
75,3
76,3
77,4
78,4
79,4
80,4
81,4
82,4
83,5
84,3
85,3
86,4
87,3
88,2
89,3
90,4
91,4
92,4
93,4
94,5
95,4
96,5
97,4
98,2
99,4
100,4
101,4
102,4
103,4
104,4
105,4
106,4
107,3
108,4
109,4
110,2
111,5
112,4
113,4
114,4
115,4
116,4
117,4
118,4
119,5
120,4
121,3
122,5
123,4
124,2
125,4
126,4
127,4
128,4
129,4
130,5
131,4
132,4
133,5
134,4
135,3
136,4
137,4
138,4
139,3
140,3
141,4
142,3
143,4
144,5
145,5
146,4
147,2
148,3
149,4
150,3
151,2
152,5
153,5
154,4
155,3
156,3
157,3
158,2
159,2
160,2
161,3
162,4
163,4
164,3
165,4
166,5
167,4
168,3
169,3
170,3
171,3
172,4
173,4
174,2
175,3
176,4
177,3
178,3
179,2
180,4
181,4
182,3
183,4
184,3
185,3
186,4
187,5
188,3
189,4
190,4
191,4
192,3
193,3
194,3
195,4
196,3
197,5
198,4
199,5
200,2
201,4
202,4
203,4
204,5
205,3
206,4
207,3
208,3
209,4
210,3
211,2
212,3
213,5
214,4
215,4
216,4
217,3
218,4
219,3
220,4
221,4
222,4
223,4
224,5
225,5
226,4
227,3
228,3
229,3
230,3
231,3
232,3
233,3
234,3
235,3
236,3
237,3
238,3
239,3
240,3
241,3
242,3
243,3
244,3
245,3
246,3
247,3
248,3
249,3
250,3
251,3
252,3
253,3
254,5
255,3
256,3
257,3
258,3
259,4
260,3
261,3
262,3
263,3
264,3
265,3
266,3
267,3
268,3
269,3
270,3
271,2
272,3
273,3
274,3
275,3
276,3
277,4
278,3
279,3
280,3
281,4
282,3
283,3
284,4
285,3
286,3
287,3
288,3
289,3
290,3
291,3
292,3
293,3
294,3
295,2
296,3
297,2
298,3
299,3
300,3
301,3
302,3
303,3
304,3
305,3
306,3
307,3
308,3
309,3
310,4
311,3
312,3
313,3
314,3
315,3
316,4
317,3
318,3
319,3
320,3
321,2
322,3
323,3
324,3
325,3
326,3
327,4
328,3
329,4
330,3
331,4
332,4
333,3
334,3
335,3
336,3
337,2
338,4
339,3
340,3
341,3
342,3
343,3
344,3
345,3
346,3
347,4
348,3
349,3
350,4
351,4
352,3
353,3
354,2
355,3
356,3
357,4
358,3
359,3
360,3
361,3
362,3
363,3
364,2
365,4
366,3
367,3
368,3
369,3
370,4
371,3
372,4
373,3
374,3
375,3
376,3
377,3
378,3
379,3
380,3
381,3
382,4
383,3
384,3
385,3
386,3
387,3
388,3
389,3
390,3
391,4
392,3
393,2
394,3
395,3
396,3
397,4
398,3
399,3
400,3
401,3
402,4
403,4
404,3
405,3
406,3
407,3
408,3
409,3
410,3
411,3
412,3
413,3
414,3
415,3
416,3
417,3
418,3
419,3
420,3
421,3
422,3
423,3
424,3
425,3
426,4
427,3
428,3
429,3
430,3
431,3
432,3
433,3
434,3
435,3
436,4
437,3
438,3
439,3
440,3
441,3
442,3
443,3
444,3
445,4
446,4
447,3
448,3
449,3
450,3
451,3
452,3
453,3
454,3
455,3
456,3
457,3
458,3
459,3
460,3
461,3
462,4
463,3
464,4
465,3
466,3
467,3
468,3
469,3
470,4
471,3
472,3
473,3
474,3
475,2
476,4
477,4
478,3
479,3
480,3
481,3
482,3
483,3
484,3
485,2
486,4
487,3
488,3
489,3
490,3
491,3
492,3
493,3
494,3
495,3
496,3
497,3
498,4
499,3
500,3
501,3
502,3
503,3
504,3
505,4
506,3
507,3
508,4
509,3
510,4
511,3
512,3
513,3
514,2
515,3
516,3
517,3
518,4
519,3
520,3
521,4
522,3
523,3
524,3
525,1
526,3
527,3
528,3
529,4
530,4
531,3
532,3
533,4
534,4
535,3
536,4
537,3
538,3
539,4
540,2
541,3
542,2
543,3
544,4
545,3
546,4
547,3
548,3
549,3
550,3
551,3
552,3
553,3
554,4
555,3
556,3
557,3
558,3
559,4
560,3
561,3
562,4
563,4
564,3
565,3
566,3
567,3
568,3
569,4
570,3
571,3
572,2
573,4
574,3
575,3
576,2
577,3
578,4
579,2
580,4
581,5
582,3
583,4
584,4
585,4
586,4
587,4
588,3
589,3
590,3
591,3
592,3
593,3
594,4
595,3
596,3
597,3
598,3
599,3
600,2
601,4
602,4
603,3
604,3
605,3
606,4
607,3
608,3
609,3
610,3
611,3
612,3
613,4
614,3
615,3
616,3
617,3
618,3
619,3
620,4
621,3
622,3
623,3
624,3
625,4
626,3
627,3
628,3
629,4
630,3
631,3
632,3
633,3
634,3
635,3
636,3
637,3
638,4
639,5
640,3
641,3
642,3
643,3
644,3
645,3
646,3
647,3
648,3
649,5
650,3
651,3
652,4
653,3
654,3
655,3
656,2
657,3
658,3
659,3
660,4
661,3
662,3
663,3
664,4
665,3
666,3
667,3
668,3
669,3
670,3
671,3
672,3
673,3
674,3
675,3
676,3
677,3
678,3
679,3
680,3
681,3
682,3
683,3
684,3
685,3
686,4
687,3
688,3
689,3
690,3
691,3
692,3
693,3
694,3
695,3
696,3
697,3
698,3
699,2
700,3
701,2
702,3
703,3
704,4
705,4
706,3
707,3
708,3
709,3
710,4
711,3
712,3
713,3
714,4
715,2
716,3
717,3
718,3
719,3
720,3
721,3
722,3
723,3
724,3
725,3
726,2
727,3
728,4
729,4
730,3
731,3
732,3
733,3
734,4
735,3
736,3
737,4
738,3
739,3
740,3
741,3
742,4
743,3
744,3
745,3
746,3
747,2
748,3
749,3
750,3
751,2
752,4
753,4
754,3
755,4
756,4
757,3
758,3
759,4
760,4
761,3
762,3
763,3
764,3
765,2
766,3
767,3
768,3
769,3
770,3
771,3
772,3
773,3
774,3
775,3
776,3
777,3
778,3
779,3
780,3
781,3
